timestamp,avg_execution_time,throughput,requests,replicas,avg_cpu,avg_mem,cold,idle_on,busy,init_total,init_reserved,nsgd_cost,has_rejection,lstm_ppo_reward,reward_throughput,reward_cpu,reward_mem,reward_replicas,proxy_requests,proxy_rejections,avg_response_latency_ms,p99_response_latency_ms
1777986236.327951,5.469,79.59,49,24,0.3253,0.1598,0,17,7,0,0,41,False,4624.74,4750.9261,4.0663,1.9975,-132.25,46,8,6334.2,10300.06
1777986266.3447094,3.494,100.0,13,24,0.0449,0.1667,0,23,1,0,0,47,False,7370.39,7500.0,0.5613,2.0837,-132.25,15,0,3463.95,5898.73
1777986296.3602874,2.582,100.0,16,13,0.0652,0.1867,11,11,2,0,0,24,False,7467.15,7500.0,0.815,2.3338,-36.0,15,0,2550.86,3492.08
1777986326.3795013,1.837,100.0,4,10,0.0273,0.194,14,9,1,0,0,19,False,7482.52,7500.0,0.3412,2.425,-20.25,7,0,2904.03,4750.12
1777986356.3931153,3.35,100.0,15,10,0.1256,0.1906,14,10,0,0,0,20,False,7483.7,7500.0,1.57,2.3825,-20.25,14,0,3535.07,6276.74
1777986386.4076297,3.473,96.43,56,24,0.321,0.1698,0,21,3,0,0,45,False,6847.94,6974.0587,4.0125,2.1225,-132.25,47,2,3782.33,10009.22
1777986416.422638,3.48,100.0,15,24,0.0796,0.1778,0,24,0,0,0,48,False,7370.97,7500.0,0.995,2.2225,-132.25,14,0,3439.1,6168.08
1777986446.4383197,2.321,90.0,10,14,0.0389,0.1945,10,11,3,0,0,25,False,6035.67,6075.0,0.4862,2.4312,-42.25,12,1,2280.36,2876.58
1777986476.4533699,3.319,100.0,4,13,0.0039,0.1802,11,13,0,0,0,26,False,7466.3,7500.0,0.0487,2.2525,-36.0,7,0,2954.75,3667.8
1777986506.4674153,4.35,80.0,20,13,0.25,0.2007,11,13,0,0,0,26,False,4769.63,4800.0,3.125,2.5088,-36.0,18,4,5650.85,10118.39
1777986536.4805336,4.608,84.62,52,24,0.2993,0.196,0,23,1,0,0,47,False,5244.35,5370.4083,3.7412,2.45,-132.25,45,7,5415.48,10114.25
1777986566.5024087,3.315,100.0,19,24,0.1526,0.1649,0,24,0,0,0,48,False,7371.72,7500.0,1.9075,2.0612,-132.25,17,0,3320.83,6885.21
1777986596.5154376,2.879,100.0,20,24,0.0834,0.1732,0,23,1,0,0,47,False,7370.96,7500.0,1.0425,2.165,-132.25,17,0,2884.0,5325.51
1777986626.5322928,3.056,100.0,14,17,0.0617,0.1726,7,14,3,0,0,31,False,7438.93,7500.0,0.7712,2.1575,-64.0,13,0,2979.13,4828.76
